Why are there many different database systems?	Different applications have different requirements and access patterns; tradeoffs differ.
Define reliability (DDIA framing).	Continuing to work correctly (correct function at required performance) even when things go wrong.
Define scalability (DDIA framing).	Reasonable ways to handle growth in load/data/complexity; add resources while keeping performance acceptable.
Define maintainability (DDIA framing).	Enable teams to work productively over time while maintaining and evolving the system.
What is a fault vs a failure (DDIA)?	Fault: a component deviates from spec; failure: the system as a whole stops providing required service.
What is fault tolerance (resilience)?	Mechanisms that prevent certain faults from turning into user-visible failures.
Name three broad categories of faults discussed in DDIA Ch. 1.	Hardware faults; software errors; human errors.
Why are hardware faults often treated as random/uncorrelated?	One disk/host failing usually doesn’t imply others fail at the same time (weak correlations aside).
How does redundancy help with hardware faults?	Redundant components can take over while broken parts are replaced, reducing downtime.
Why do large fleets increase the rate of hardware faults you must handle?	More machines means failures happen more frequently in absolute terms.
Why do some cloud environments push you toward software fault tolerance?	Instances can become unavailable without warning; designs prioritize elasticity over single-node reliability.
What operational advantage comes with tolerating machine loss?	Rolling upgrades/patching node-by-node without taking the whole system down.
What makes systematic software faults especially dangerous?	They are correlated across nodes and can trigger widespread failures.
Give examples of systematic software faults (DDIA Ch. 1).	Bug on bad input; runaway resource usage; dependency slowdown/corruption; cascading failures.
Why can software bugs lie dormant for a long time?	They’re triggered only under unusual circumstances when hidden assumptions break.
Name practical techniques to reduce impact of software faults.	Thorough testing; process isolation; crash/restart; monitoring/analysis in prod; careful design of assumptions.
How can interfaces reduce human error?	Good abstractions/APIs/admin UIs make the right thing easy and discourage risky actions.
Name techniques for fast recovery from human errors.	Roll back config quickly; gradual rollout; recompute data; tooling for recovery.
Why is monitoring/telemetry important for reliability?	Early warning signals; validate assumptions/constraints; faster diagnosis during incidents.
What are load parameters?	Quantitative measures describing load (e.g., RPS, read/write ratio, active users, cache hit rate).
What is fan-out in scalability discussions?	The amount of downstream work/calls/writes triggered by one incoming request (one-to-many effects).
What is the tradeoff between “compute on read” vs “compute on write”?	Compute on read: cheaper writes, expensive reads; compute on write: more work at write time, faster reads.
In batch systems, what performance metric is commonly emphasized?	Throughput (records/sec) or job runtime for a dataset.
In online systems, what performance metric is commonly emphasized?	Response time (client-visible time from request to response).
Why is response time best treated as a distribution?	Requests vary; outliers matter; a single average hides user experience variance.
What is the median response time (p50)?	The 50th percentile; half of requests are faster and half are slower.
What does p95 (or p99/p999) response time mean?	A threshold where 95% (or 99%/99.9%) of requests are faster than that value.
What are tail latencies?	High-percentile response times (e.g., p99/p999) representing the slow tail/outliers.
Why can tail latencies matter disproportionately?	A few slow requests can dominate user experience and multi-call request latency.
What is head-of-line blocking?	A small number of slow requests block later requests in queues, inflating their response times.
What is tail latency amplification?	If a request fans out to multiple backends, overall latency is gated by the slowest sub-request.
What are two high-level scaling approaches?	Vertical scaling (scale up) and horizontal scaling (scale out across machines).
What is a shared-nothing architecture?	Horizontal scaling by distributing load/state across independent machines (no shared central bottleneck).
What is elasticity vs manual scaling?	Elastic systems auto-add resources; manual scaling relies on human capacity planning.
Why is scaling stateless services easier than scaling stateful data systems?	State distribution/consistency adds complexity; stateless replicas can be load-balanced more directly.
Define operability.	Make it easy to keep the system running smoothly in production (monitor, deploy, diagnose, maintain).
Define simplicity (DDIA maintainability principle).	Reduce accidental complexity so engineers can understand and reason about the system.
Define evolvability.	Make it easy to change/adapt the system for new requirements over time.
What is accidental complexity?	Complexity from implementation choices, not inherent to the user’s problem.
Why is abstraction a key tool for simplicity?	It hides implementation details behind a clean interface; reuse concentrates quality improvements.
What is the relational model?	Data organized into relations (tables) — unordered collections of tuples (rows); proposed by Edgar Codd in 1970
What is the object-relational impedance mismatch?	The disconnect between object-oriented application code and the relational table/row/column model — requires a translation layer
What are the three main ways to represent one-to-many relationships in relational databases?	Separate tables with foreign keys; structured/XML/JSON datatype columns; or encoding as text in a single column (not queryable)
Why use IDs rather than plain-text strings for values like region or industry?	IDs never change even if the human-meaningful value changes; duplicating text risks inconsistencies when updates are needed
What is normalization in databases?	Removing duplication by storing each fact in exactly one place and referencing it by ID
How did the relational model improve on the hierarchical and network models?	Laid all data in open tables (no nested structures); the query optimizer automatically selects access paths; adding new indexes/queries doesn't require rewriting code
What is a query optimizer?	A component of a relational database that automatically decides which indexes and join methods to use and in which order — built once, benefits all queries
When is the document model a good fit?	When data has a document-like structure (tree of one-to-many relationships) that is typically loaded all at once
When does the document model become less appealing?	When the application requires many-to-many relationships — joins are weakly supported, and denormalization creates consistency work
What is schema-on-read?	The data structure is implicit and only interpreted at read time (document databases) — analogous to dynamic/runtime type checking
What is schema-on-write?	The schema is explicit and enforced by the database at write time (relational databases) — analogous to static/compile-time type checking
When is schema-on-read advantageous over schema-on-write?	When items in a collection are heterogeneous (different structures), or when structure is determined by external systems you don't control
What is the data locality advantage of document databases?	A document is stored as a single continuous string — fetching the whole document requires one query and no multi-table joins
What are the downsides of document locality?	The entire document is loaded even when only part is needed; updates typically rewrite the whole document
What is a declarative query language?	A language (like SQL) where you specify what data you want, not how to retrieve it — the system's optimizer decides execution
Why are declarative languages generally better for databases?	More concise; hide engine implementation details allowing optimization; easier to parallelize; DB can improve performance without changing queries
What is MapReduce?	A programming model for processing large amounts of data across many machines using map (emit key-value pairs) and reduce (aggregate) pure functions
What kinds of data are best modeled as a graph?	Highly interconnected data with complex many-to-many relationships — social networks, web links, road networks
What two broad storage-engine families does DDIA chapter 3 focus on first?	Log-structured storage engines and page-oriented engines such as B-trees.
What is an append-only log in database storage?	An append-only sequence of records; new writes are added at the end rather than overwriting old ones.
Why does a naive append-only key-value store have slow reads?	Lookup is O(n): it may need to scan the whole file to find the latest value for a key.
What is an index in a database?	An additional structure derived from primary data that helps locate records faster.
What is the key write/read tradeoff with indexes?	Indexes speed up reads but add overhead to writes because they must also be maintained.
